generation,best_formula,combined_fitness,fitness,novelty,complexity,strict_hits,closeness,variance
102,869*x**2 + 159*x,2619438.2367357993,3.3920730942363225e-09,2619438.3967357962,16,0,3.3920730942363225e-09,6861457514293.8
103,878*x**2 + 185*x,2647248.2277310165,3.355913958366357e-09,2647248.3877310134,16,0,3.355913958366357e-09,7007924026344.45
104,885*x**2 + 68*x + 5,2665040.142866328,3.33600749918473e-09,2665040.3328663246,19,0,3.33600749918473e-09,7102439975804.25
105,892*x**2 + 127*x,2687754.7086519883,3.306600373120754e-09,2687754.868651985,16,0,3.306600373120754e-09,7224026233962.45
106,903*x**2 + 129*x,2720911.802517019,3.2662940844200097e-09,2720911.962517016,16,0,3.2662940844200097e-09,7403361907768.2
107,916*x**2 + 139*x,2760311.0443460005,3.2195084906455473e-09,2760311.2043459974,16,0,3.2195084906455473e-09,7619317944838.05
108,916*x**2 + 139*x,2760311.0443460005,3.2195084906455473e-09,2760311.2043459974,16,0,3.2195084906455473e-09,7619317944838.05
109,925*x**2 + 146*x - 10,2787589.544750198,3.1879021104160626e-09,2787589.7547501945,21,0,3.1879021104160626e-09,7770656640788.25
110,937*x**2 + 155*x,2823951.6728959186,3.146706690761881e-09,2823951.8328959155,16,0,3.146706690761881e-09,7974703954516.2
111,937*x**2 + 178*x + 5,2824594.9436036753,3.145552073925708e-09,2824595.1436036723,20,0,3.145552073925708e-09,7978337725269.45
112,951*x**2 + 92*x,2864318.363840084,3.1035533022461985e-09,2864318.5138400807,15,0,3.1035533022461985e-09,8204320548727.05
113,966*x**2 + 85*x,2909260.523851704,3.0557563883536104e-09,2909260.6738517005,15,0,3.0557563883536104e-09,8463797668420.05
114,978*x**2 + 73*x,2945035.255345489,3.0188604696517308e-09,2945035.405345486,15,0,3.0188604696517308e-09,8673233538738.45
115,981*x**2 + 164*x,2956608.0186765497,3.0054812343792742e-09,2956608.178676547,16,0,3.0054812343792742e-09,8741531922217.05
116,988*x**2 + 157*x,2977476.6011829423,2.984553283316319e-09,2977476.7611829396,16,0,2.984553283316319e-09,8865367863384.45
117,999*x**2 + 165*x,3010801.5137523273,2.9514129429043735e-09,3010801.6737523247,16,0,2.9514129429043735e-09,9064926718669.8
118,1001*x**2 + 65*x,3014023.008609494,2.9499180495066338e-09,3014023.1686094915,16,0,2.9499180495066338e-09,9084335660914.8
119,1002*x**2 + 168*x,3019913.0008107466,2.942466240084389e-09,3019913.1708107437,17,0,2.942466240084389e-09,9119875559236.2
120,1013*x**2 + 102*x,3051168.1826527123,2.913417446297661e-09,3051168.3526527095,17,0,2.913417446297661e-09,9309628316229.45
121,1021*x**2 + 135*x,3076164.7272351626,2.8892300851322044e-09,3076164.8972351598,17,0,2.8892300851322044e-09,9462790474981.8
122,1026*x**2 + 196*x,3092916.861878776,2.8726323534332414e-09,3092917.031878773,17,0,2.8726323534332414e-09,9566135766085.8
123,1036*x**2 + 134*x,3121274.697030108,2.847516883269303e-09,3121274.867030105,17,0,2.847516883269303e-09,9742356795553.8
124,1049*x**2 + 66*x,3158492.3869088995,2.8150116395945777e-09,3158492.546908897,16,0,2.8150116395945777e-09,9976075168879.05
125,1053*x**2 + 130*x,3172319.1514428253,2.801788184152056e-09,3172319.3214428225,17,0,2.801788184152056e-09,10063609877199.45
126,1066*x**2 + 136*x,3211606.513644468,2.7674477562873036e-09,3211606.683644465,17,0,2.7674477562873036e-09,10314417490429.8
127,1071*x**2 + 72*x,3224862.50863708,2.7570058979910352e-09,3224862.6686370773,16,0,2.7570058979910352e-09,10399739231569.05
128,1084*x**2 + 62*x,3263702.376493456,2.7243475111429083e-09,3263702.536493453,16,0,2.7243475111429083e-09,10651754246713.8
129,1094*x**2 + 72*x,3294074.0176222674,2.699096359812951e-09,3294074.1776222647,16,0,2.699096359812951e-09,10850924687677.8
130,1096*x**2 + 89*x,3300567.8702466222,2.693552501020331e-09,3300568.0302466196,16,0,2.693552501020331e-09,10893749322286.05
131,1108*x**2 + 132*x,3337880.8671640297,2.66287283268647e-09,3337881.037164027,17,0,2.66287283268647e-09,11141449818259.2
132,1114*x**2 + 30*x,3353083.2909986204,2.652173296355531e-09,3353083.450998618,16,0,2.652173296355531e-09,11243168629360.8
133,1123*x**2 + 120*x,3382683.1795119625,2.627783059417344e-09,3382683.3495119596,17,0,2.627783059417344e-09,11442546643065.45
134,1140*x**2 + 121*x,3433867.4800708746,2.5886220050089938e-09,3433867.6500708717,17,0,2.5886220050089938e-09,11791447038203.25
135,1143*x**2 + 216*x,3445552.1723212525,2.5786440137534763e-09,3445552.3423212497,17,0,2.5786440137534763e-09,11871830943675.45
136,1143*x**2 + 216*x,3445552.1723212525,2.5786440137534763e-09,3445552.3423212497,17,0,2.5786440137534763e-09,11871830943675.45
137,1154*x**2 + 77*x,3474765.6209351793,2.5587186395575475e-09,3474765.780935177,16,0,2.5587186395575475e-09,12073997232358.05
138,1160*x**2 + 192*x,3496037.2206307147,2.541738730466776e-09,3496037.3906307123,17,0,2.541738730466776e-09,12222277436688.0
139,1169*x**2 + 189*x,3523036.073937723,2.5223132150638154e-09,3523036.2439377205,17,0,2.5223132150638154e-09,12411784376098.8
